Level,Scope,Dex,Str,Wis,Cha,
E4,Runs projects with extremely high business impact and technical risk/ambiguity.,"É referência para technical guidance; antecipa problemas técnicos no nível de produto e toma decisões arquiteturais e de design para evitá-los

Dono e expert em grandes partes do codebase

Habilidade de planejar e implementar abstrações, ferramentas e bibliotecas que são úteis não somente no ponto inicial, mas também em outros pontos do sistema

Tem histórico em criar melhorias na estabilidade, performance e escalabilidade do sistema
","Reconhecido por ser contribuidor de core and side projects

Consistentemente capaz de reduzir complexidade de projetos, serviços e processos, contribuindo para que o time faça mais com menos trabalho

Consistentemente entrega features grandes com grande nível de qualidade

Rapidamente quebra problemas complexos em soluções potenciais, mapeando knowns e unknowns, para que o time consiga atingir soluções ótimas de maneira mais rápida

Capaz de debugar os problemas mais complicados que o time encontra, especialmente envolvendo múltiplas frentes/ projetos/ serviços

Responsável por melhorias na infraestrutura, upgrades de bibliotecas, gems, tecnologias, que mehorem a saúde e qualidade do sistema","Define direção no nível do squad e consistentemente influencia tomada de decisão entre múltiplos squads

Identifica e proativamente paga dívida técnica antes que cresça e vire um problema que impeça o avanço rápido do sistema

Desenha arquitetura ampla, shipa múltiplas features grandes, bibliotecas complexas ou grandes partes de infraestrutura

Fez um impacto claramente positivo na trajetória técnica da empresa","É frequentemente buscado para review de arquitetura, dá feedbacks em projetos fora de sua área

Entende e articula os tradeoffs entre necessidades técnicas, analíticas e de produto; eficiência vs detalhamento; adição ou remoção de dívida técnica

Multiplica a efitividade de outros facilitando o trabalho cross-teams

Escuta e guia debates pra ajudar a se chegar em um consenso; uma vez tomada a decisão, comunica-a com clareza e a endossa

Define estratégias de direção técnica de curto a médio prazo, consegue olhar de 6 a 12 meses para frente e identifica as áreas de maior necessidade, criando planos para melhorá-las

[M] Assumiu papel de liderança em um squad pequeno (3 a 5 pessoas); realiza performance reviews
",Does not forget to roll up his/her sleeves and get involved. This (and all of the roles underneath) are not pure architecture roles.
,,,,,,
E5,"Sets the highest-level, long-term company objectives and makes them happen.","Antecipa amplas mudanças técnicas e de escalabilidade. Garante que a Qulture está sempre à frente da curva.

Capaz de reconhecer e fazer tradeoffs em relação ao sistema como um todo

Entende profundamente toda a arquitetura do negócio e é capaz de articular claramente os limites, como um todo, de escalabilidade e confiabilidade

Compreensão detalhada de como nossas capacidades técnicas impactam a competitividade dos nossos produtos e serviços no mercado (intuição técnica combinada com intuição de negócios)
","Deterina os principais riscos e oportunidades técnicos da Qulture e executa eficientemente levando-os em consideração

Proativamente é o promotor de mudanças técnicas do começo ao fim (execução, não só visão)","Tem papel fundamental no desenvolvimento de estratégias de tecnologia de longo prazo (multi-year) para áreas inteiras e áreas críticas do negócio, englobando múltiplos sistemas e times

Decisões tem um impacto direto no sucesso ou falha a longo prazo da Qulture

Cria arquiteturas que permitem diversos futuros potenciais mesmo sem saber qual o futuro se materializará

Cria um pipeline de potenciais candidatos a E4, identificando as estrelas e provendo mentoria técnica focada para a subida na carreira
","[M] Lidera líderes

[M] Prepara potenciais futuros líderes para papeis de liderança

Age primariamente como multiplicador construindo sistemas, ferramentas ou introduzindo policies ou padrões que aumentam a produtividade da empresa toda

Constrói a marca de engenharia da Qulture externamente por meio de talks e blog posts. Identifica áreas que a Qulture pode compartilhar conhecimento de maneira efetiva no mundo fora da empresa e guia a criação de conteúdo e comunicação nessas áreas

Lidera conversas internamente sobre a direção das principais frentes de tecnologia, conduz o amplo consenso do time para adotar novas tecnologias e usa essa direção para inspirar os engenheiros

Visto como um role model e mentor para todos os líderes técnicos do time

Capaz de manter conversas produtivas com os executivos, superando jargões e assimetria de informações pra inspirar confiança.
",
,,,,,,
E6,Influences the broader engineering community and industry,"Creates and identifies abstractions, patterns, frameworks, and tools within Qulture that have broader applicability to other developers or companies (e.g., fintech firms)
","Prolific producer of valuable open and closed source software.

Able to balance broader community priorities against making Qulture successful","Consistently creates or produces significant contributions to influential open source projects that significantly impact the software development industry.

Influences technical direction beyond Qulture",Plays a crucial role in building Qulture's reputation as one of the great well-known global technology companies,
,,,,,,
,,,,,,
How to read the ladder,,,,,,
* The expectations at each level are cumulative.,,,,,,
* [M] Maganement path,,,,,,
"* Tech leads have the same expectations as individual contributors to the extent that they are doing individual work, in addition to manager-specific expectations",,,,,,
,,"This indicates a major ""maturity"" level-up",,,,
Pro tips,,,,,,
"* Dex and Str (the ""adder"" attributes) are the primary drivers of promotions at lower levels. At higher levels, the importance gradually shifts to Wis and Cha (the ""multiplier"" attributes).",,,,,,
"* Not everyone will progress in each column in lockstep. If you are Dex:5/Cha:3, you will not be stuck at E3, but you will likely not be promoted all the way E5. ",,,,,,
Recommend reading: http://www.kitchensoap.com/2012/10/25/on-being-a-senior-engineer/,,,,,,
